height,block_time,encode,nbits
1200001,1514806624,0000000000000000000000000000000000000000000000288b285cabb1bd8067,1d00ffff
1200002,1514807872,0000000000000000000000000000000000000000000000288b285cacb1be8068,1d00ffff
1200003,1514809231,0000000000000000000000000000000000000000000000288b285cadb1bf8069,1d00ffff
1200004,1514810437,0000000000000000000000000000000000000000000000288b285caeb1c0806a,1d00ffff
1200005,1514811665,0000000000000000000000000000000000000000000000288b285cafb1c1806b,1d00ffff
1200006,1514812885,0000000000000000000000000000000000000000000000288b285cb0b1c2806c,1d00ffff
1200007,1514814139,0000000000000000000000000000000000000000000000288b285cb1b1c3806d,1d00ffff
1200008,1514815401,0000000000000000000000000000000000000000000000288b285cb2b1c4806e,1d00ffff
1200009,1514816627,0000000000000000000000000000000000000000000000288b285cb3b1c5806f,1d00ffff
1200010,1514817833,0000000000000000000000000000000000000000000000288b285cb4b1c68070,1d00ffff
1200011,1514819170,0000000000000000000000000000000000000000000000288b285cb5b1c78071,1d00ffff
1200012,1514820412,0000000000000000000000000000000000000000000000288b285cb6b1c88072,1d00ffff
1200013,1514821659,0000000000000000000000000000000000000000000000288b285cb7b1c98073,1d00ffff
1200014,1514822878,0000000000000000000000000000000000000000000000288b285cb8b1ca8074,1d00ffff
1200015,1514824163,0000000000000000000000000000000000000000000000288b285cb9b1cb8075,1d00ffff
1200016,1514825373,0000000000000000000000000000000000000000000000288b285cbab1cc8076,1d00ffff
1200017,1514826650,0000000000000000000000000000000000000000000000288b285cbbb1cd8077,1d00ffff
1200018,1514827871,0000000000000000000000000000000000000000000000288b285cbcb1ce8078,1d00ffff
1200019,1514829090,0000000000000000000000000000000000000000000000288b285cbdb1cf8079,1d00ffff
1200020,1514830345,0000000000000000000000000000000000000000000000288b285cbeb1d0807a,1d00ffff
1200021,1514831552,0000000000000000000000000000000000000000000000288b285cbfb1d1807b,1d00ffff
1200022,1514832840,0000000000000000000000000000000000000000000000288b285cc0b1d2807c,1d00ffff
1200023,1514834055,0000000000000000000000000000000000000000000000288b285cc1b1d3807d,1d00ffff
1200024,1514835276,0000000000000000000000000000000000000000000000288b285cc2b1d4807e,1d00ffff
1200025,1514836549,0000000000000000000000000000000000000000000000288b285cc3b1d5807f,1d00ffff
1200026,1514837800,0000000000000000000000000000000000000000000000288b285cc4b1d68080,1d00ffff
1200027,1514839061,0000000000000000000000000000000000000000000000288b285cc5b1d78081,1d00ffff
1200028,1514840266,0000000000000000000000000000000000000000000000288b285cc6b1d88082,1d00ffff
1200029,1514841481,0000000000000000000000000000000000000000000000288b285cc7b1d98083,1d00ffff
1200030,1514842710,0000000000000000000000000000000000000000000000288b285cc8b1da8084,1d00ffff
1200031,1514843949,0000000000000000000000000000000000000000000000288b285cc9b1db8085,1d00ffff
1200032,1514845182,0000000000000000000000000000000000000000000000288b285ccab1dc8086,1d00ffff
1200033,1514846415,0000000000000000000000000000000000000000000000288b285ccbb1dd8087,1d00ffff
1200034,1514847736,0000000000000000000000000000000000000000000000288b285cccb1de8088,1d00ffff
1200035,1514848947,0000000000000000000000000000000000000000000000288b285ccdb1df8089,1d00ffff
1200036,1514850152,0000000000000000000000000000000000000000000000288b285cceb1e0808a,1d00ffff
1200037,1514851385,0000000000000000000000000000000000000000000000288b285ccfb1e1808b,1d00ffff
1200038,1514852623,0000000000000000000000000000000000000000000000288b285cd0b1e2808c,1d00ffff
1200039,1514853845,0000000000000000000000000000000000000000000000288b285cd1b1e3808d,1d00ffff
1200040,1514855062,0000000000000000000000000000000000000000000000288b285cd2b1e4808e,1d00ffff
1200041,1514856279,0000000000000000000000000000000000000000000000288b285cd3b1e5808f,1d00ffff
1200042,1514857500,0000000000000000000000000000000000000000000000288b285cd4b1e68090,1d00ffff
1200043,1514858711,0000000000000000000000000000000000000000000000288b285cd5b1e78091,1d00ffff
1200044,1514859915,0000000000000000000000000000000000000000000000288b285cd6b1e88092,1d00ffff
1200045,1514861133,0000000000000000000000000000000000000000000000288b285cd7b1e98093,1d00ffff
1200046,1514862340,0000000000000000000000000000000000000000000000288b285cd8b1ea8094,1d00ffff
1200047,1514863667,0000000000000000000000000000000000000000000000288b285cd9b1eb8095,1d00ffff
1200048,1514864917,0000000000000000000000000000000000000000000000288b285cdab1ec8096,1d00ffff
1200049,1514866145,0000000000000000000000000000000000000000000000288b285cdbb1ed8097,1d00ffff
1200050,1514867404,0000000000000000000000000000000000000000000000288b285cdcb1ee8098,1d00ffff
1200051,1514868621,0000000000000000000000000000000000000000000000288b285cddb1ef8099,1d00ffff
1200052,1514869866,0000000000000000000000000000000000000000000000288b285cdeb1f0809a,1d00ffff
1200053,1514871357,0000000000000000000000000000000000000000000000288b285cdfb1f1809b,1d00ffff
1200054,1514872658,0000000000000000000000000000000000000000000000288b285ce0b1f2809c,1d00ffff
1200055,1514873897,0000000000000000000000000000000000000000000000288b285ce1b1f3809d,1d00ffff
1200056,1514875143,0000000000000000000000000000000000000000000000288b285ce2b1f4809e,1d00ffff
1200057,1514875566,0000000000000000000000000000000000000000000000288b28623fbc06de76,1b2fbb09
1200058,1514876836,0000000000000000000000000000000000000000000000288b286240bc07de77,1d00ffff
1200059,1514878071,0000000000000000000000000000000000000000000000288b286241bc08de78,1d00ffff
1200060,1514879273,0000000000000000000000000000000000000000000000288b286242bc09de79,1d00ffff
1200061,1514880487,0000000000000000000000000000000000000000000000288b286243bc0ade7a,1d00ffff
1200062,1514881828,0000000000000000000000000000000000000000000000288b286244bc0bde7b,1d00ffff
1200063,1514883097,0000000000000000000000000000000000000000000000288b286245bc0cde7c,1d00ffff
1200064,1514884352,0000000000000000000000000000000000000000000000288b286246bc0dde7d,1d00ffff
1200065,1514885565,0000000000000000000000000000000000000000000000288b286247bc0ede7e,1d00ffff
1200066,1514886801,0000000000000000000000000000000000000000000000288b286248bc0fde7f,1d00ffff
1200067,1514888003,0000000000000000000000000000000000000000000000288b286249bc10de80,1d00ffff
1200068,1514889205,0000000000000000000000000000000000000000000000288b28624abc11de81,1d00ffff
1200069,1514890431,0000000000000000000000000000000000000000000000288b28624bbc12de82,1d00ffff
1200070,1514891660,0000000000000000000000000000000000000000000000288b28624cbc13de83,1d00ffff
1200071,1514892887,0000000000000000000000000000000000000000000000288b28624dbc14de84,1d00ffff
1200072,1514894220,0000000000000000000000000000000000000000000000288b28624ebc15de85,1d00ffff
1200073,1514895433,0000000000000000000000000000000000000000000000288b28624fbc16de86,1d00ffff
1200074,1514896686,0000000000000000000000000000000000000000000000288b286250bc17de87,1d00ffff
1200075,1514898017,0000000000000000000000000000000000000000000000288b286251bc18de88,1d00ffff
1200076,1514899232,0000000000000000000000000000000000000000000000288b286252bc19de89,1d00ffff
1200077,1514900492,0000000000000000000000000000000000000000000000288b286253bc1ade8a,1d00ffff
1200078,1514901694,0000000000000000000000000000000000000000000000288b286254bc1bde8b,1d00ffff
1200079,1514902923,0000000000000000000000000000000000000000000000288b286255bc1cde8c,1d00ffff
1200080,1514904160,0000000000000000000000000000000000000000000000288b286256bc1dde8d,1d00ffff
1200081,1514904732,0000000000000000000000000000000000000000000000288b2862c17a4fa9fe,1c0265f6
1200082,1514905206,0000000000000000000000000000000000000000000000288b2862f8c2302ba3,1c04a183
1200083,1514905233,0000000000000000000000000000000000000000000000288b2863306809f638,1c0499b1
1200084,1514905271,0000000000000000000000000000000000000000000000288b2863683e27a146,1c0495b7
1200085,1514905292,0000000000000000000000000000000000000000000000288b2863a044d0ec06,1c0491be
1200086,1514905325,0000000000000000000000000000000000000000000000288b2863d87c41d92c,1c048dc7
